participant_id,programme,sample_role,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12
S033,Masters,Validation,4.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0
S034,Masters,Validation,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0
S035,Masters,Development,4.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,1.0,5.0,3.0
S036,Masters,Development,2.0,3.0,3.0,1.0,4.0,3.0,1.0,4.0,3.0,3.0,2.0,3.0
S037,Masters,Development,3.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0
S038,Doctoral,Development,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0
S039,Masters,Development,5.0,3.0,4.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0
S040,Masters,Validation,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,1.0
S041,Masters,Validation,3.0,4.0,3.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,3.0,4.0
S042,Doctoral,Development,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0
S043,Masters,Development,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0
S044,Masters,Validation,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0
S045,Masters,Development,1.0,3.0,1.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,1.0,4.0
S046,Doctoral,Development,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0
S047,Masters,Development,5.0,5.0,3.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0
S048,Masters,Development,5.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0
S049,Masters,Validation,1.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,4.0,3.0,4.0
S050,Masters,Validation,3.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,5.0,4.0
S051,Doctoral,Development,4.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0
S052,Doctoral,Development,4.0,4.0,4.0,5.0,2.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0
S053,Masters,Development,5.0,3.0,5.0,5.0,4.0,2.0,5.0,4.0,5.0,5.0,5.0,4.0
S054,Doctoral,Development,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0
S055,Doctoral,Development,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0
S056,Masters,Development,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
S057,Masters,Development,4.0,3.0,4.0,1.0,4.0,2.0,2.0,4.0,2.0,5.0,4.0,3.0
S058,Doctoral,Validation,3.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0,5.0,4.0,3.0,1.0
S059,Doctoral,Validation,4.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0
S060,Masters,Development,4.0,2.0,3.0,2.0,1.0,2.0,4.0,2.0,1.0,4.0,3.0,4.0
S061,Masters,Development,3.0,4.0,3.0,2.0,1.0,5.0,,2.0,2.0,2.0,4.0,2.0
S062,Doctoral,Validation,2.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0
S063,Doctoral,Development,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,4.0,2.0,3.0
S064,Masters,Development,5.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,2.0,3.0,3.0
S065,Masters,Development,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0
S066,Doctoral,Development,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,1.0
S067,Doctoral,Development,3.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
S068,Masters,Development,3.0,1.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0
S069,Masters,Development,2.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0
S070,Doctoral,Validation,4.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0
S071,Masters,Validation,3.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,1.0
S072,Doctoral,Development,4.0,2.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0
S073,Masters,Development,4.0,3.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0
S074,Masters,Development,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,3.0,1.0
S075,Masters,Validation,5.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,5.0,3.0
S076,Masters,Validation,3.0,1.0,5.0,2.0,2.0,4.0,2.0,3.0,5.0,4.0,4.0,5.0
S077,Masters,Validation,,2.0,2.0,1.0,1.0,1.0,5.0,3.0,2.0,1.0,2.0,4.0
S078,Doctoral,Development,3.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0
S079,Masters,Development,3.0,3.0,2.0,2.0,3.0,3.0,4.0,1.0,2.0,1.0,2.0,4.0
S080,Doctoral,Development,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0
S081,Doctoral,Development,3.0,3.0,3.0,4.0,4.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0
S082,Masters,Development,5.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0
S083,Doctoral,Development,4.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0
S084,Masters,Validation,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0
S085,Masters,Development,4.0,4.0,3.0,2.0,2.0,1.0,4.0,3.0,3.0,2.0,3.0,4.0
S086,Masters,Validation,3.0,4.0,2.0,3.0,4.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0
S087,Doctoral,Development,2.0,3.0,1.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0
S088,Masters,Development,5.0,4.0,5.0,5.0,3.0,4.0,5.0,3.0,5.0,3.0,5.0,3.0
S089,Masters,Development,2.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,4.0,1.0,2.0,1.0
S090,Masters,Validation,3.0,3.0,3.0,3.0,2.0,2.0,,2.0,2.0,3.0,3.0,5.0
S091,Masters,Development,3.0,4.0,3.0,4.0,2.0,3.0,3.0,5.0,3.0,2.0,2.0,3.0
S092,Doctoral,Development,2.0,2.0,4.0,3.0,3.0,1.0,3.0,4.0,2.0,3.0,4.0,2.0
S093,Doctoral,Development,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0
S094,Masters,Validation,2.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0
S095,Masters,Development,3.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0
S096,Masters,Development,,4.0,4.0,2.0,2.0,1.0,4.0,4.0,2.0,4.0,4.0,3.0
S097,Masters,Validation,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0
S098,Doctoral,Development,4.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0
S099,Masters,Validation,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,2.0
S100,Masters,Development,4.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0
S101,Masters,Development,5.0,4.0,4.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,,4.0
S102,Masters,Development,2.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0
S103,Masters,Development,1.0,3.0,2.0,4.0,1.0,2.0,4.0,2.0,,1.0,1.0,1.0
S104,Masters,Development,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0
S105,Masters,Development,2.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0
S106,Doctoral,Development,4.0,2.0,3.0,5.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0
S107,Doctoral,Validation,2.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,1.0,5.0,2.0,4.0
S108,Doctoral,Development,3.0,4.0,3.0,2.0,1.0,4.0,1.0,3.0,3.0,1.0,3.0,4.0
S109,Masters,Development,2.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0
S110,Masters,Validation,3.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,5.0,3.0,3.0
S111,Masters,Development,4.0,3.0,4.0,3.0,3.0,1.0,5.0,4.0,3.0,3.0,4.0,4.0
S112,Masters,Development,1.0,2.0,3.0,2.0,,2.0,2.0,4.0,3.0,5.0,3.0,2.0
S113,Masters,Development,3.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,3.0,5.0,1.0
S114,Masters,Development,4.0,3.0,4.0,1.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0
S115,Masters,Development,2.0,2.0,3.0,,2.0,1.0,2.0,3.0,3.0,,3.0,2.0
S116,Masters,Development,2.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0
S117,Masters,Development,3.0,4.0,4.0,5.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0
S118,Masters,Validation,5.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0
S119,Doctoral,Development,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
S120,Masters,Development,3.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,1.0,3.0,4.0,1.0
S121,Doctoral,Validation,4.0,2.0,4.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0
S122,Masters,Development,2.0,3.0,3.0,3.0,1.0,4.0,3.0,1.0,2.0,3.0,4.0,5.0
S123,Masters,Development,4.0,4.0,4.0,3.0,3.0,3.0,4.0,,3.0,2.0,4.0,3.0
S124,Doctoral,Validation,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,5.0,3.0,3.0
S125,Masters,Validation,2.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0
S126,Doctoral,Validation,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,5.0,3.0,3.0,5.0
S127,Masters,Validation,3.0,5.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,1.0,4.0,1.0
S128,Masters,Validation,2.0,4.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0
S129,Doctoral,Development,5.0,5.0,4.0,4.0,2.0,3.0,5.0,3.0,3.0,4.0,4.0,
S130,Masters,Development,4.0,3.0,3.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,3.0
S131,Masters,Validation,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0
S132,Masters,Development,3.0,3.0,5.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,5.0,2.0
S133,Masters,Development,4.0,3.0,,3.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,1.0
S134,Masters,Validation,4.0,5.0,2.0,4.0,2.0,5.0,5.0,4.0,2.0,3.0,2.0,4.0
S135,Masters,Validation,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0
S136,Masters,Development,3.0,4.0,3.0,4.0,4.0,5.0,3.0,2.0,2.0,1.0,3.0,3.0
S137,Masters,Development,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,4.0
S138,Masters,Development,2.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,4.0,2.0,5.0
S139,Masters,Validation,3.0,3.0,4.0,4.0,3.0,4.0,1.0,2.0,5.0,2.0,4.0,3.0
S140,Doctoral,Development,1.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0
S141,Masters,Validation,2.0,3.0,5.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
S142,Masters,Validation,4.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0
S143,Masters,Development,3.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0
S144,Masters,Validation,2.0,4.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0
S145,Masters,Validation,2.0,4.0,2.0,3.0,1.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0
S146,Masters,Validation,2.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,3.0,1.0,3.0
S147,Masters,Validation,5.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0
S148,Doctoral,Validation,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,5.0,4.0,4.0
S149,Masters,Validation,1.0,4.0,1.0,2.0,3.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0
S150,Masters,Development,3.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,3.0,5.0
S151,Doctoral,Validation,1.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0
S152,Masters,Development,2.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0
S153,Masters,Validation,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0
S154,Masters,Development,3.0,4.0,3.0,5.0,3.0,5.0,4.0,4.0,2.0,3.0,3.0,4.0
S155,Doctoral,Validation,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0
S156,Masters,Validation,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
S157,Masters,Validation,1.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,3.0,4.0
S158,Masters,Development,5.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,2.0,3.0,1.0
S159,Masters,Development,4.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0
S160,Masters,Validation,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0
S161,Masters,Validation,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,,2.0,3.0
S162,Doctoral,Development,5.0,4.0,4.0,5.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0
S163,Masters,Development,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0
S164,Masters,Validation,3.0,4.0,,4.0,3.0,2.0,3.0,5.0,3.0,1.0,3.0,1.0
S165,Masters,Validation,4.0,3.0,5.0,3.0,4.0,,2.0,2.0,3.0,4.0,5.0,2.0
S166,Masters,Validation,4.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,2.0,3.0,3.0
S167,Doctoral,Development,3.0,3.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0,5.0
S168,Masters,Development,4.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,3.0,3.0
S169,Masters,Development,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0
S170,Masters,Validation,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
S171,Masters,Validation,3.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0
S172,Doctoral,Development,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0
S173,Masters,Validation,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0
S174,Doctoral,Validation,3.0,4.0,2.0,4.0,4.0,3.0,5.0,4.0,3.0,2.0,2.0,2.0
S175,Masters,Development,4.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0
S176,Masters,Development,3.0,4.0,2.0,3.0,4.0,3.0,3.0,5.0,2.0,5.0,3.0,4.0
S177,Doctoral,Validation,4.0,3.0,4.0,2.0,4.0,3.0,,2.0,2.0,1.0,4.0,4.0
S178,Doctoral,Validation,3.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,3.0,3.0,5.0,3.0
S179,Masters,Development,3.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0
S180,Masters,Development,3.0,3.0,3.0,2.0,1.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0
S181,Masters,Validation,1.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,3.0,1.0,3.0
S182,Masters,Validation,2.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0
S183,Doctoral,Validation,2.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,4.0
S184,Masters,Validation,3.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0
S185,Doctoral,Validation,2.0,,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0
S186,Doctoral,Development,2.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0
S187,Masters,Development,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0
S188,Doctoral,Validation,3.0,2.0,4.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,5.0,3.0
S189,Masters,Validation,5.0,3.0,3.0,4.0,2.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0
S190,Doctoral,Validation,2.0,3.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0,4.0,5.0
S191,Masters,Development,2.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0
S192,Masters,Development,1.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,5.0,2.0,1.0,4.0
S193,Masters,Development,5.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,3.0
S194,Masters,Validation,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0
S195,Masters,Development,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0
S196,Masters,Validation,4.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,2.0
S197,Doctoral,Development,4.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0
S198,Doctoral,Development,2.0,5.0,3.0,3.0,2.0,3.0,5.0,4.0,4.0,2.0,3.0,4.0
S199,Masters,Development,4.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0
S200,Doctoral,Development,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0
S201,Masters,Development,5.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0
S202,Doctoral,Development,1.0,2.0,1.0,,2.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0
S203,Masters,Validation,2.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0
S204,Doctoral,Validation,3.0,4.0,1.0,1.0,3.0,4.0,3.0,2.0,1.0,3.0,1.0,4.0
S205,Masters,Development,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0
S206,Masters,Development,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0
S207,Doctoral,Validation,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0
S208,Doctoral,Validation,1.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,5.0,3.0,2.0,4.0
S209,Masters,Development,5.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,5.0
S210,Doctoral,Development,4.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,3.0
S211,Masters,Validation,2.0,1.0,1.0,2.0,4.0,,2.0,2.0,1.0,4.0,1.0,1.0
S212,Masters,Development,4.0,4.0,4.0,4.0,4.0,3.0,5.0,2.0,3.0,5.0,4.0,4.0
S213,Doctoral,Development,2.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0
S214,Masters,Validation,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0
S215,Masters,Validation,3.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,1.0,4.0,3.0
S216,Masters,Development,4.0,3.0,5.0,5.0,4.0,4.0,2.0,4.0,3.0,4.0,5.0,3.0
S217,Doctoral,Development,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,2.0,1.0,2.0
S218,Masters,Validation,4.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,2.0,2.0,4.0,1.0
S219,Doctoral,Development,3.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,4.0,1.0,4.0
S220,Doctoral,Development,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,1.0
S221,Doctoral,Validation,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0
S222,Masters,Development,3.0,3.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0,2.0
S223,Doctoral,Development,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0
S224,Masters,Validation,3.0,3.0,4.0,3.0,3.0,4.0,5.0,2.0,4.0,5.0,5.0,3.0
S225,Masters,Development,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,,2.0,3.0
S226,Masters,Validation,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0
S227,Masters,Validation,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0
S228,Masters,Development,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0
S229,Masters,Development,1.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0
S230,Masters,Development,3.0,4.0,2.0,2.0,3.0,3.0,5.0,3.0,3.0,5.0,2.0,2.0
S231,Masters,Validation,3.0,5.0,4.0,3.0,2.0,2.0,3.0,2.0,4.0,5.0,3.0,3.0
S232,Doctoral,Development,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0
S233,Masters,Development,5.0,3.0,5.0,4.0,5.0,3.0,4.0,,5.0,5.0,5.0,
S234,Masters,Validation,4.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,5.0
S235,Doctoral,Development,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,1.0,3.0,3.0
S236,Masters,Development,2.0,5.0,4.0,5.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0
S237,Masters,Development,3.0,5.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0
