student_id,group_code,group,age,prior_score,writing_score,pass_status,passed,satisfaction
I042,1,Structured feedback,22,81.5,85.8,Passed,1,3
I043,1,Structured feedback,30,71.5,73.3,Passed,1,2
I044,1,Structured feedback,41,74.3,77.8,Passed,1,3
I045,0,Standard instruction,29,39.0,64.0,Did not pass,0,3
I046,0,Standard instruction,31,62.1,65.0,Did not pass,0,3
I047,1,Structured feedback,29,62.7,61.0,Did not pass,0,3
I048,1,Structured feedback,27,63.0,88.2,Passed,1,4
I049,1,Structured feedback,25,66.9,90.3,Passed,1,4
I050,0,Standard instruction,33,62.0,65.1,Did not pass,0,3
I051,1,Structured feedback,32,72.3,77.6,Passed,1,5
I052,0,Standard instruction,22,59.6,62.8,Did not pass,0,1
I053,0,Standard instruction,21,58.1,67.1,Did not pass,0,4
I054,0,Standard instruction,39,77.7,96.1,Passed,1,4
I055,0,Standard instruction,22,71.2,83.7,Passed,1,3
I056,0,Standard instruction,27,62.9,60.2,Did not pass,0,2
I057,1,Structured feedback,35,67.2,92.2,Passed,1,5
I058,0,Standard instruction,31,72.8,67.1,Did not pass,0,3
I059,1,Structured feedback,30,82.7,100.0,Passed,1,4
I060,0,Standard instruction,38,80.1,85.8,Passed,1,4
I061,1,Structured feedback,28,59.8,75.3,Passed,1,3
I062,1,Structured feedback,36,70.3,71.3,Passed,1,4
I063,1,Structured feedback,35,75.9,86.6,Passed,1,3
I064,0,Standard instruction,32,62.6,57.8,Did not pass,0,4
I065,1,Structured feedback,23,73.8,85.3,Passed,1,4
I066,1,Structured feedback,32,80.5,84.7,Passed,1,4
I067,1,Structured feedback,35,72.2,85.5,Passed,1,4
I068,0,Standard instruction,26,69.0,62.1,Did not pass,0,1
I069,1,Structured feedback,35,64.3,83.7,Passed,1,4
I070,0,Standard instruction,23,77.7,75.3,Passed,1,3
I071,1,Structured feedback,19,71.1,82.9,Passed,1,5
I072,0,Standard instruction,29,75.8,95.0,Passed,1,3
I073,0,Standard instruction,24,65.3,81.3,Passed,1,3
I074,0,Standard instruction,19,62.3,61.7,Did not pass,0,2
I075,1,Structured feedback,19,60.6,73.0,Passed,1,3
I076,1,Structured feedback,27,60.7,66.2,Did not pass,0,2
I077,0,Standard instruction,27,75.6,75.1,Passed,1,2
I078,1,Structured feedback,25,72.2,99.9,Passed,1,5
I079,0,Standard instruction,31,59.4,45.0,Did not pass,0,3
I080,1,Structured feedback,27,58.4,88.3,Passed,1,4
I081,0,Standard instruction,25,82.4,90.6,Passed,1,3
I082,1,Structured feedback,42,57.8,72.8,Passed,1,2
I083,0,Standard instruction,28,50.0,62.6,Did not pass,0,3
I084,0,Standard instruction,29,77.4,74.9,Passed,1,4
I085,0,Standard instruction,36,83.8,85.5,Passed,1,3
I086,1,Structured feedback,27,82.1,73.4,Passed,1,3
I087,0,Standard instruction,26,67.5,90.1,Passed,1,2
I088,0,Standard instruction,29,58.8,56.6,Did not pass,0,1
I089,1,Structured feedback,24,50.7,66.6,Did not pass,0,3
I090,0,Standard instruction,29,74.4,79.7,Passed,1,3
I091,0,Standard instruction,37,66.8,68.1,Did not pass,0,3
I092,0,Standard instruction,31,66.5,65.2,Did not pass,0,3
I093,1,Structured feedback,30,61.1,78.9,Passed,1,5
I094,1,Structured feedback,22,66.0,63.4,Did not pass,0,3
I095,1,Structured feedback,21,83.4,90.1,Passed,1,3
I096,0,Standard instruction,29,67.0,87.8,Passed,1,5
I097,0,Standard instruction,27,53.6,51.3,Did not pass,0,2
I098,1,Structured feedback,29,52.3,56.2,Did not pass,0,3
I099,0,Standard instruction,26,61.1,63.3,Did not pass,0,3
I100,1,Structured feedback,37,73.4,83.2,Passed,1,2
I101,0,Standard instruction,28,74.7,88.9,Passed,1,4
I102,0,Standard instruction,34,75.7,78.5,Passed,1,4
I103,1,Structured feedback,19,70.9,71.7,Passed,1,3
I104,0,Standard instruction,27,60.0,55.8,Did not pass,0,2
I105,1,Structured feedback,34,75.6,89.2,Passed,1,5
I106,1,Structured feedback,36,56.2,94.4,Passed,1,4
I107,1,Structured feedback,35,40.2,52.4,Did not pass,0,2
I108,0,Standard instruction,45,68.2,67.2,Did not pass,0,3
I109,0,Standard instruction,24,70.0,69.3,Did not pass,0,2
I110,1,Structured feedback,27,37.8,66.9,Did not pass,0,2
I111,0,Standard instruction,32,71.0,76.6,Passed,1,3
I112,0,Standard instruction,32,55.5,68.6,Did not pass,0,4
I113,1,Structured feedback,27,89.1,82.0,Passed,1,2
I114,0,Standard instruction,39,57.1,77.6,Passed,1,4
I115,1,Structured feedback,35,69.4,56.7,Did not pass,0,4
I116,0,Standard instruction,39,53.2,64.3,Did not pass,0,3
I117,0,Standard instruction,19,63.1,57.6,Did not pass,0,3
I118,0,Standard instruction,27,72.8,66.6,Did not pass,0,1
I119,1,Structured feedback,33,74.7,68.0,Did not pass,0,3
I120,0,Standard instruction,24,59.3,67.6,Did not pass,0,2
I121,0,Standard instruction,37,77.4,72.4,Passed,1,3
I122,1,Structured feedback,31,60.1,63.6,Did not pass,0,2
I123,1,Structured feedback,24,75.8,83.4,Passed,1,4
I124,0,Standard instruction,31,83.2,91.1,Passed,1,3
I125,0,Standard instruction,31,82.4,81.2,Passed,1,1
I126,0,Standard instruction,44,66.1,72.5,Passed,1,3
I127,1,Structured feedback,25,64.3,68.2,Did not pass,0,5
I128,0,Standard instruction,27,61.2,71.4,Passed,1,2
I129,0,Standard instruction,36,64.3,64.2,Did not pass,0,3
I130,1,Structured feedback,38,79.5,98.1,Passed,1,4
I131,1,Structured feedback,19,74.6,73.1,Passed,1,3
I132,1,Structured feedback,29,69.1,75.6,Passed,1,3
I133,1,Structured feedback,29,53.9,55.7,Did not pass,0,3
I134,0,Standard instruction,19,61.6,75.7,Passed,1,3
I135,0,Standard instruction,29,78.8,83.8,Passed,1,2
I136,1,Structured feedback,28,69.4,82.9,Passed,1,4
I137,1,Structured feedback,26,43.5,81.5,Passed,1,3
I138,1,Structured feedback,24,85.8,98.9,Passed,1,4
I139,0,Standard instruction,38,75.3,77.2,Passed,1,1
I140,0,Standard instruction,30,70.4,77.0,Passed,1,2
I141,1,Structured feedback,28,62.3,52.9,Did not pass,0,1
I142,1,Structured feedback,29,77.8,74.9,Passed,1,2
I143,1,Structured feedback,26,53.2,59.7,Did not pass,0,3
I144,0,Standard instruction,28,69.2,74.7,Passed,1,3
I145,0,Standard instruction,20,55.7,72.3,Passed,1,3
I146,0,Standard instruction,31,71.8,78.4,Passed,1,2
I147,0,Standard instruction,26,65.1,78.8,Passed,1,3
I148,1,Structured feedback,28,63.7,70.5,Passed,1,3
I149,0,Standard instruction,32,63.4,65.4,Did not pass,0,3
I150,1,Structured feedback,30,85.9,92.7,Passed,1,3
I151,0,Standard instruction,47,66.3,70.8,Passed,1,3
I152,1,Structured feedback,21,52.4,100.0,Passed,1,3
I153,1,Structured feedback,42,53.9,72.6,Passed,1,4
I154,0,Standard instruction,33,80.1,73.2,Passed,1,2
I155,0,Standard instruction,24,63.2,61.5,Did not pass,0,2
I156,0,Standard instruction,35,75.0,70.0,Did not pass,0,3
I157,1,Structured feedback,32,55.5,82.1,Passed,1,3
I158,0,Standard instruction,30,60.3,63.5,Did not pass,0,3
I159,0,Standard instruction,34,70.5,87.3,Passed,1,3
I160,1,Structured feedback,28,80.1,100.0,Passed,1,3
I161,1,Structured feedback,29,67.3,71.9,Passed,1,3
I162,1,Structured feedback,35,55.1,72.8,Passed,1,4
I163,1,Structured feedback,36,56.4,72.5,Passed,1,3
I164,0,Standard instruction,30,55.9,69.7,Did not pass,0,2
I165,1,Structured feedback,32,75.4,56.7,Did not pass,0,3
I166,0,Standard instruction,30,68.1,68.9,Did not pass,0,2
I167,1,Structured feedback,32,73.3,81.5,Passed,1,3
I168,0,Standard instruction,32,72.3,75.8,Passed,1,3
I169,0,Standard instruction,36,60.5,60.2,Did not pass,0,2
I170,0,Standard instruction,29,65.9,78.6,Passed,1,3
I171,0,Standard instruction,24,62.7,62.4,Did not pass,0,3
I172,1,Structured feedback,26,83.1,80.7,Passed,1,3
I173,1,Structured feedback,31,68.7,74.8,Passed,1,3
I174,0,Standard instruction,35,82.1,80.7,Passed,1,3
I175,1,Structured feedback,28,78.5,77.9,Passed,1,3
I176,1,Structured feedback,19,49.9,74.2,Passed,1,4
I177,0,Standard instruction,46,62.9,66.6,Did not pass,0,3
I178,0,Standard instruction,28,52.9,47.7,Did not pass,0,3
I179,1,Structured feedback,34,76.2,94.4,Passed,1,4
I180,0,Standard instruction,29,78.0,77.5,Passed,1,4
