student_id,instructional_format,prior_score,study_hours,online_engagement,final_score,passed
S059,Face-to-face,64.2,5.3,65.9,65.5,0
S060,Online,72.8,6.0,41.1,97.4,1
S061,Face-to-face,59.8,9.7,59.8,81.5,1
S062,Face-to-face,78.0,9.8,72.1,66.3,0
S063,Face-to-face,69.0,7.7,77.3,89.3,1
S064,Hybrid,59.4,3.6,61.1,58.8,0
S065,Hybrid,69.3,6.3,74.4,85.2,1
S066,Hybrid,69.2,10.9,99.8,100.0,1
S067,Face-to-face,87.7,9.2,62.8,92.8,1
S068,Face-to-face,60.9,1.0,36.9,68.6,0
S069,Hybrid,64.1,12.3,74.7,84.4,1
S070,Online,76.2,9.2,49.8,87.1,1
S071,Hybrid,79.0,9.4,76.3,91.3,1
S072,Hybrid,43.7,4.6,47.5,59.5,0
S073,Hybrid,67.4,10.5,60.1,67.2,0
S074,Online,66.8,2.6,43.5,61.9,0
S075,Online,49.4,5.5,80.1,61.9,0
S076,Face-to-face,67.4,4.0,51.7,79.3,1
S077,Hybrid,65.8,8.8,86.9,81.3,1
S078,Hybrid,62.7,6.8,39.7,67.8,0
S079,Hybrid,58.9,6.1,66.4,68.6,0
S080,Online,79.8,6.3,68.8,75.2,1
S081,Face-to-face,68.8,12.1,72.0,86.1,1
S082,Face-to-face,64.7,6.6,70.9,62.0,0
S083,Face-to-face,66.9,3.1,79.3,62.9,0
S084,Face-to-face,62.3,3.2,50.0,69.1,0
S085,Face-to-face,65.4,10.3,38.8,95.6,1
S086,Hybrid,53.4,5.6,61.2,46.4,0
S087,Hybrid,69.8,9.9,59.6,93.7,1
S088,Hybrid,62.3,4.2,68.6,69.7,0
S089,Face-to-face,64.7,5.1,50.0,64.8,0
S090,Face-to-face,70.4,8.2,78.7,87.3,1
S091,Face-to-face,68.0,10.5,78.6,73.6,1
S092,Online,92.0,8.2,64.5,95.7,1
S093,Hybrid,55.7,3.6,55.1,69.5,0
S094,Face-to-face,85.8,5.6,66.3,97.9,1
S095,Online,72.4,3.8,53.2,63.8,0
S096,Online,59.3,18.5,67.9,100.0,1
S097,Face-to-face,75.1,7.9,64.7,84.7,1
S098,Face-to-face,70.5,8.9,65.4,73.0,1
S099,Online,67.8,7.7,40.9,79.3,1
S100,Hybrid,73.6,6.4,89.6,81.6,1
S101,Face-to-face,64.8,6.5,53.1,74.3,1
S102,Face-to-face,67.0,5.9,38.7,76.2,1
S103,Online,75.7,11.2,60.3,97.5,1
S104,Hybrid,77.4,8.8,68.6,78.6,1
S105,Face-to-face,67.8,11.0,66.3,69.7,0
S106,Face-to-face,71.8,10.4,64.7,78.5,1
S107,Face-to-face,68.0,2.6,50.4,62.1,0
S108,Face-to-face,71.4,6.2,53.7,71.1,1
S109,Hybrid,71.6,4.2,48.5,64.1,0
S110,Hybrid,77.0,10.8,69.1,87.6,1
S111,Face-to-face,66.6,9.9,49.9,80.8,1
S112,Online,59.0,9.9,63.4,77.0,1
S113,Online,62.5,4.6,59.8,68.6,0
S114,Hybrid,69.8,8.0,61.1,77.8,1
S115,Face-to-face,75.1,2.7,55.3,71.9,1
S116,Online,65.5,19.5,65.6,66.0,0
S117,Hybrid,50.3,7.8,71.0,56.6,0
S118,Hybrid,91.0,9.2,83.9,96.6,1
S119,Hybrid,65.8,11.2,66.0,85.5,1
S120,Face-to-face,74.4,8.5,57.6,88.2,1
S121,Online,66.8,6.0,53.3,58.4,0
S122,Hybrid,81.9,5.7,47.1,91.4,1
S123,Online,74.2,7.6,54.6,72.1,1
S124,Face-to-face,60.9,4.4,63.8,53.4,0
S125,Online,60.2,3.2,47.5,61.9,0
S126,Online,66.7,5.5,49.5,74.5,1
S127,Face-to-face,80.7,10.9,72.9,78.5,1
S128,Online,72.7,6.3,67.0,77.1,1
S129,Hybrid,82.5,4.8,40.6,73.4,1
S130,Online,68.1,3.4,59.1,72.0,1
S131,Face-to-face,72.6,8.1,81.4,87.8,1
S132,Face-to-face,78.9,8.0,81.1,81.6,1
S133,Face-to-face,71.1,6.0,62.0,74.2,1
S134,Online,36.3,4.5,55.9,44.6,0
S135,Online,72.1,9.2,79.6,78.7,1
S136,Face-to-face,62.7,8.0,63.0,76.9,1
S137,Face-to-face,68.0,9.8,70.1,85.8,1
S138,Face-to-face,76.9,3.9,66.3,72.6,1
S139,Hybrid,75.7,5.2,59.7,80.7,1
S140,Hybrid,77.4,9.0,66.3,94.5,1
S141,Hybrid,48.8,3.4,48.4,62.3,0
S142,Hybrid,69.6,4.9,54.3,87.8,1
S143,Face-to-face,83.5,1.7,63.7,58.1,0
S144,Hybrid,82.4,7.9,64.9,99.9,1
S145,Online,77.4,5.2,46.2,80.4,1
S146,Face-to-face,37.3,5.2,72.9,50.7,0
S147,Face-to-face,58.4,5.6,73.1,62.7,0
S148,Hybrid,65.3,10.6,89.6,100.0,1
S149,Hybrid,70.3,5.0,55.5,76.7,1
S150,Hybrid,54.1,4.8,64.0,67.3,0
S151,Face-to-face,52.0,1.5,59.7,59.9,0
S152,Hybrid,81.1,2.3,74.0,69.3,0
S153,Online,59.0,4.8,75.4,72.2,1
S154,Online,85.5,4.4,63.5,73.5,1
S155,Face-to-face,42.5,1.0,64.6,57.6,0
S156,Online,62.5,9.3,35.9,78.3,1
S157,Hybrid,68.5,6.6,79.2,77.8,1
S158,Face-to-face,69.7,12.1,66.3,99.7,1
S159,Hybrid,69.8,10.9,74.8,75.5,1
S160,Hybrid,46.7,3.7,48.0,59.4,0
S161,Face-to-face,85.8,7.3,67.4,90.6,1
S162,Face-to-face,84.6,10.8,51.1,100.0,1
S163,Hybrid,83.2,7.5,67.8,80.9,1
S164,Face-to-face,72.7,7.8,63.2,76.4,1
S165,Hybrid,75.8,13.4,82.0,94.2,1
S166,Face-to-face,38.5,7.5,62.7,62.2,0
S167,Face-to-face,62.8,3.9,64.7,61.8,0
S168,Online,63.5,6.0,58.6,61.0,0
S169,Hybrid,63.8,4.7,61.0,95.2,1
S170,Hybrid,67.9,9.3,84.8,93.8,1
S171,Face-to-face,62.7,8.2,63.0,78.9,1
S172,Online,73.7,9.4,84.8,80.4,1
S173,Online,60.3,3.7,56.2,51.5,0
S174,Face-to-face,58.7,6.7,56.0,78.7,1
S175,Hybrid,79.3,5.1,54.2,88.1,1
S176,Online,72.5,2.2,71.4,62.1,0
S177,Face-to-face,63.7,6.4,62.0,70.0,0
S178,Face-to-face,68.3,5.6,76.9,65.6,0
S179,Online,74.1,3.4,59.5,59.7,0
S180,Hybrid,84.5,6.8,64.7,90.3,1
S181,Face-to-face,81.8,6.9,65.5,84.6,1
S182,Online,60.4,8.1,54.2,78.1,1
S183,Hybrid,71.5,13.1,89.3,93.0,1
S184,Online,77.3,10.3,56.5,100.0,1
S185,Hybrid,63.4,5.1,81.1,73.9,1
S186,Online,75.2,1.2,59.9,60.8,0
S187,Online,82.3,9.3,68.8,100.0,1
S188,Online,73.5,6.0,62.6,70.9,1
S189,Face-to-face,70.2,8.9,79.0,88.8,1
S190,Hybrid,65.1,6.1,54.0,81.6,1
