participant_id,intervention,baseline_score,self_efficacy,engagement,final_score
MD239,1,55.9,27.2,54.3,70.9
MD240,1,60.8,43.3,43.8,79.3
MD241,0,61.8,27.8,39.0,57.7
MD242,1,58.7,44.3,60.8,53.9
MD243,0,69.7,41.6,54.0,63.5
MD244,1,72.8,51.3,68.4,69.3
MD245,1,61.9,46.4,45.7,82.4
MD246,0,82.5,37.4,39.5,81.0
MD247,0,71.4,40.6,46.9,72.8
MD248,1,69.6,45.5,60.3,64.9
MD249,0,53.2,32.2,28.2,48.3
MD250,1,56.2,45.6,58.5,68.8
MD251,1,53.8,39.6,44.1,75.6
MD252,1,68.5,42.6,54.4,72.8
MD253,0,59.4,35.7,41.6,58.9
MD254,1,65.2,36.6,40.6,69.1
MD255,0,70.9,31.5,35.6,66.9
MD256,1,77.4,50.2,54.5,68.2
MD257,1,65.9,35.8,45.1,68.6
MD258,1,68.9,50.7,49.9,85.3
MD259,0,83.9,30.7,51.9,66.4
MD260,1,71.6,34.4,59.1,84.7
MD261,0,60.3,29.2,44.0,57.3
MD262,0,66.7,32.4,44.5,61.7
MD263,1,66.5,45.0,66.5,77.3
MD264,1,58.9,52.0,57.0,71.3
MD265,1,63.9,39.8,58.9,62.6
MD266,0,76.5,46.9,50.7,67.1
MD267,1,72.2,42.0,40.9,67.6
MD268,1,68.6,39.8,54.3,62.0
MD269,0,71.4,43.3,64.6,76.0
MD270,0,68.8,35.8,56.7,63.3
MD271,1,67.0,38.7,53.2,63.4
MD272,1,70.8,40.3,44.8,71.7
MD273,1,72.2,46.9,45.3,73.8
MD274,0,50.2,37.1,35.6,66.0
MD275,1,58.9,36.3,45.0,52.2
MD276,1,69.1,43.8,50.2,67.2
MD277,1,77.3,49.8,56.5,64.9
MD278,1,71.4,41.8,42.8,73.5
MD279,0,77.4,52.7,56.5,81.8
MD280,1,90.3,33.5,49.5,71.7
MD281,0,62.5,31.0,33.0,48.0
MD282,0,55.9,31.5,36.4,56.8
MD283,1,66.6,48.7,41.0,75.1
MD284,1,51.6,44.6,34.7,60.3
MD285,0,73.4,47.8,41.4,56.0
MD286,1,58.2,39.9,43.9,51.1
MD287,0,57.9,29.9,47.3,61.2
MD288,0,58.4,37.8,44.1,54.2
MD289,1,83.6,45.0,36.5,56.5
MD290,1,62.7,39.0,51.2,51.7
MD291,1,83.3,44.3,63.6,71.0
MD292,1,47.7,33.2,35.7,49.2
MD293,0,71.2,38.0,51.0,68.6
MD294,0,72.8,44.9,55.3,76.3
MD295,1,64.8,41.8,50.4,87.3
MD296,1,73.9,39.5,54.0,76.1
MD297,0,87.3,39.9,46.2,78.2
MD298,1,62.8,47.1,42.6,74.3
MD299,0,40.4,29.5,48.7,53.7
MD300,1,67.8,42.5,50.9,73.4
MD301,1,58.5,47.2,61.5,73.6
MD302,0,76.5,48.3,50.5,69.5
MD303,1,59.4,39.2,46.2,66.0
MD304,0,77.6,35.2,41.6,83.8
MD305,0,73.2,31.6,51.0,58.8
MD306,0,65.6,44.7,49.1,62.8
MD307,0,66.3,39.3,42.3,49.9
MD308,0,71.9,39.5,46.3,69.2
MD309,1,64.4,47.0,58.3,71.6
MD310,1,49.6,33.5,51.9,47.7
MD311,1,66.4,33.4,45.4,57.2
MD312,1,65.1,33.9,45.1,52.0
MD313,1,46.9,40.9,58.0,60.1
MD314,1,90.0,49.7,60.0,95.6
MD315,0,59.3,39.4,48.5,71.0
MD316,1,48.5,40.5,53.6,52.8
MD317,1,56.8,40.3,54.1,68.8
MD318,0,68.0,35.7,35.3,71.8
MD319,1,62.0,49.7,36.2,65.9
MD320,0,61.9,41.6,49.4,56.7
MD321,1,64.3,37.7,46.2,60.6
MD322,1,60.3,40.5,52.0,75.4
MD323,0,59.7,34.9,58.8,49.7
MD324,1,64.9,43.9,52.8,69.6
MD325,1,50.5,38.0,48.0,74.3
MD326,0,61.7,31.4,46.4,80.2
MD327,0,68.3,37.7,36.8,72.0
MD328,0,63.3,38.6,44.7,55.2
MD329,1,68.1,44.1,43.3,71.7
MD330,1,45.9,38.7,49.9,49.2
MD331,1,71.8,37.8,51.3,69.1
MD332,0,80.0,56.0,54.4,81.4
MD333,0,61.6,35.6,40.0,55.0
MD334,1,59.4,41.6,42.7,76.3
MD335,0,60.3,47.1,54.1,70.2
MD336,0,55.9,46.3,51.3,77.9
MD337,1,58.6,33.8,48.8,49.5
MD338,1,72.2,32.9,44.0,69.9
MD339,1,60.8,51.5,53.3,58.2
MD340,0,58.2,37.5,37.2,55.0
MD341,1,67.7,35.9,50.1,47.1
MD342,0,71.3,40.5,55.7,69.9
MD343,0,52.1,49.3,44.2,53.8
MD344,1,70.0,44.7,50.7,66.8
MD345,1,80.0,43.0,52.4,76.1
MD346,1,80.0,49.3,61.3,82.1
MD347,1,67.7,55.3,58.8,81.1
MD348,0,65.4,36.7,40.8,74.1
MD349,0,76.5,31.9,34.1,60.5
MD350,1,64.8,48.3,43.7,73.7
MD351,1,67.4,38.1,49.9,61.1
MD352,0,75.1,44.4,48.6,70.0
MD353,1,67.3,36.0,47.8,73.5
MD354,0,65.8,35.3,43.0,53.5
MD355,1,61.2,37.6,41.5,74.9
MD356,0,63.2,32.9,51.9,68.1
MD357,0,77.0,45.4,53.8,62.1
MD358,1,66.5,40.0,55.7,67.3
MD359,1,55.9,36.6,45.1,61.7
MD360,1,78.1,46.9,66.1,68.5
