student_id,treatment,prior_score,time,time_num,outcome_score
R109,Intervention,74.3,Follow-up,2,71.6
R110,Intervention,82.7,Baseline,0,72.7
R110,Intervention,82.7,Post,1,82.1
R110,Intervention,82.7,Follow-up,2,
R111,Intervention,65.7,Baseline,0,60.4
R111,Intervention,65.7,Post,1,82.6
R111,Intervention,65.7,Follow-up,2,84.2
R112,Control,79.7,Baseline,0,81.5
R112,Control,79.7,Post,1,66.9
R112,Control,79.7,Follow-up,2,63.1
R113,Control,60.8,Baseline,0,61.4
R113,Control,60.8,Post,1,81.4
R113,Control,60.8,Follow-up,2,77.2
R114,Intervention,67.6,Baseline,0,67.0
R114,Intervention,67.6,Post,1,
R114,Intervention,67.6,Follow-up,2,72.2
R115,Control,66.7,Baseline,0,68.2
R115,Control,66.7,Post,1,67.6
R115,Control,66.7,Follow-up,2,76.3
R116,Intervention,64.6,Baseline,0,66.7
R116,Intervention,64.6,Post,1,67.1
R116,Intervention,64.6,Follow-up,2,73.2
R117,Intervention,45.5,Baseline,0,69.4
R117,Intervention,45.5,Post,1,67.0
R117,Intervention,45.5,Follow-up,2,72.6
R118,Intervention,61.5,Baseline,0,68.9
R118,Intervention,61.5,Post,1,
R118,Intervention,61.5,Follow-up,2,58.1
R119,Intervention,64.9,Baseline,0,72.9
R119,Intervention,64.9,Post,1,66.4
R119,Intervention,64.9,Follow-up,2,63.4
R120,Intervention,78.1,Baseline,0,64.8
R120,Intervention,78.1,Post,1,76.7
R120,Intervention,78.1,Follow-up,2,90.0
R121,Control,65.0,Baseline,0,63.9
R121,Control,65.0,Post,1,64.2
R121,Control,65.0,Follow-up,2,64.4
R122,Control,56.7,Baseline,0,71.1
R122,Control,56.7,Post,1,72.9
R122,Control,56.7,Follow-up,2,60.6
R123,Control,61.6,Baseline,0,81.4
R123,Control,61.6,Post,1,79.1
R123,Control,61.6,Follow-up,2,72.6
R124,Control,59.4,Baseline,0,66.3
R124,Control,59.4,Post,1,65.7
R124,Control,59.4,Follow-up,2,67.9
R125,Control,62.3,Baseline,0,74.4
R125,Control,62.3,Post,1,73.4
R125,Control,62.3,Follow-up,2,73.4
R126,Intervention,51.0,Baseline,0,70.6
R126,Intervention,51.0,Post,1,
R126,Intervention,51.0,Follow-up,2,70.2
R127,Control,59.6,Baseline,0,69.8
R127,Control,59.6,Post,1,71.2
R127,Control,59.6,Follow-up,2,70.7
R128,Control,71.2,Baseline,0,74.0
R128,Control,71.2,Post,1,68.8
R128,Control,71.2,Follow-up,2,77.5
R129,Intervention,78.1,Baseline,0,75.6
R129,Intervention,78.1,Post,1,73.0
R129,Intervention,78.1,Follow-up,2,97.2
R130,Control,40.0,Baseline,0,57.6
R130,Control,40.0,Post,1,64.4
R130,Control,40.0,Follow-up,2,61.5
R131,Control,72.9,Baseline,0,79.4
R131,Control,72.9,Post,1,72.9
R131,Control,72.9,Follow-up,2,83.1
R132,Control,66.3,Baseline,0,81.7
R132,Control,66.3,Post,1,78.0
R132,Control,66.3,Follow-up,2,72.4
R133,Control,58.3,Baseline,0,66.8
R133,Control,58.3,Post,1,
R133,Control,58.3,Follow-up,2,73.8
R134,Intervention,72.6,Baseline,0,65.2
R134,Intervention,72.6,Post,1,85.3
R134,Intervention,72.6,Follow-up,2,82.1
R135,Control,53.5,Baseline,0,88.3
R135,Control,53.5,Post,1,61.0
R135,Control,53.5,Follow-up,2,72.8
R136,Control,70.3,Baseline,0,74.5
R136,Control,70.3,Post,1,88.0
R136,Control,70.3,Follow-up,2,87.1
R137,Control,72.6,Baseline,0,70.9
R137,Control,72.6,Post,1,77.6
R137,Control,72.6,Follow-up,2,71.5
R138,Control,83.6,Baseline,0,85.2
R138,Control,83.6,Post,1,77.0
R138,Control,83.6,Follow-up,2,88.8
R139,Control,56.8,Baseline,0,68.0
R139,Control,56.8,Post,1,69.1
R139,Control,56.8,Follow-up,2,72.9
R140,Control,75.8,Baseline,0,61.2
R140,Control,75.8,Post,1,75.5
R140,Control,75.8,Follow-up,2,76.6
R141,Intervention,67.7,Baseline,0,65.0
R141,Intervention,67.7,Post,1,58.5
R141,Intervention,67.7,Follow-up,2,68.0
R142,Intervention,54.9,Baseline,0,67.8
R142,Intervention,54.9,Post,1,
R142,Intervention,54.9,Follow-up,2,92.4
R143,Intervention,67.6,Baseline,0,70.8
R143,Intervention,67.6,Post,1,66.7
R143,Intervention,67.6,Follow-up,2,70.9
R144,Intervention,67.1,Baseline,0,76.1
R144,Intervention,67.1,Post,1,90.5
R144,Intervention,67.1,Follow-up,2,85.3
R145,Intervention,65.7,Baseline,0,86.6
R145,Intervention,65.7,Post,1,96.6
R145,Intervention,65.7,Follow-up,2,99.0
R146,Control,68.6,Baseline,0,70.0
R146,Control,68.6,Post,1,80.7
R146,Control,68.6,Follow-up,2,87.1
R147,Intervention,73.4,Baseline,0,65.9
R147,Intervention,73.4,Post,1,84.0
R147,Intervention,73.4,Follow-up,2,
R148,Control,55.3,Baseline,0,65.0
R148,Control,55.3,Post,1,70.9
R148,Control,55.3,Follow-up,2,
R149,Intervention,48.6,Baseline,0,63.6
R149,Intervention,48.6,Post,1,66.0
R149,Intervention,48.6,Follow-up,2,71.3
R150,Control,56.8,Baseline,0,44.3
R150,Control,56.8,Post,1,53.5
R150,Control,56.8,Follow-up,2,47.0
R151,Control,59.4,Baseline,0,65.8
R151,Control,59.4,Post,1,73.4
R151,Control,59.4,Follow-up,2,72.6
R152,Control,58.5,Baseline,0,89.7
R152,Control,58.5,Post,1,77.4
R152,Control,58.5,Follow-up,2,84.0
R153,Control,52.7,Baseline,0,61.6
R153,Control,52.7,Post,1,74.1
R153,Control,52.7,Follow-up,2,72.7
R154,Intervention,60.7,Baseline,0,65.9
R154,Intervention,60.7,Post,1,62.9
R154,Intervention,60.7,Follow-up,2,
R155,Control,63.3,Baseline,0,79.8
R155,Control,63.3,Post,1,76.0
R155,Control,63.3,Follow-up,2,65.4
R156,Control,64.7,Baseline,0,63.0
R156,Control,64.7,Post,1,77.4
R156,Control,64.7,Follow-up,2,71.1
R157,Intervention,67.2,Baseline,0,63.3
R157,Intervention,67.2,Post,1,70.1
R157,Intervention,67.2,Follow-up,2,79.2
R158,Intervention,60.9,Baseline,0,60.4
R158,Intervention,60.9,Post,1,68.8
R158,Intervention,60.9,Follow-up,2,72.5
R159,Control,67.3,Baseline,0,78.2
R159,Control,67.3,Post,1,68.9
R159,Control,67.3,Follow-up,2,68.2
R160,Control,66.1,Baseline,0,79.4
R160,Control,66.1,Post,1,73.8
R160,Control,66.1,Follow-up,2,73.6
R161,Intervention,48.9,Baseline,0,75.7
R161,Intervention,48.9,Post,1,73.6
R161,Intervention,48.9,Follow-up,2,81.1
R162,Control,66.0,Baseline,0,85.6
R162,Control,66.0,Post,1,67.2
R162,Control,66.0,Follow-up,2,66.5
R163,Intervention,63.6,Baseline,0,69.3
R163,Intervention,63.6,Post,1,86.6
R163,Intervention,63.6,Follow-up,2,88.8
R164,Control,70.2,Baseline,0,70.3
R164,Control,70.2,Post,1,74.2
R164,Control,70.2,Follow-up,2,69.1
R165,Control,48.2,Baseline,0,67.1
R165,Control,48.2,Post,1,82.9
R165,Control,48.2,Follow-up,2,
R166,Intervention,75.7,Baseline,0,70.3
R166,Intervention,75.7,Post,1,84.5
R166,Intervention,75.7,Follow-up,2,90.7
R167,Intervention,56.1,Baseline,0,69.0
R167,Intervention,56.1,Post,1,70.0
R167,Intervention,56.1,Follow-up,2,78.4
R168,Intervention,48.1,Baseline,0,68.6
R168,Intervention,48.1,Post,1,57.2
R168,Intervention,48.1,Follow-up,2,73.4
R169,Control,64.6,Baseline,0,83.0
R169,Control,64.6,Post,1,89.5
R169,Control,64.6,Follow-up,2,81.0
R170,Intervention,69.3,Baseline,0,76.8
R170,Intervention,69.3,Post,1,89.9
R170,Intervention,69.3,Follow-up,2,81.6
R171,Intervention,50.9,Baseline,0,72.4
R171,Intervention,50.9,Post,1,79.7
R171,Intervention,50.9,Follow-up,2,76.8
R172,Intervention,66.2,Baseline,0,77.2
R172,Intervention,66.2,Post,1,75.8
R172,Intervention,66.2,Follow-up,2,88.3
R173,Control,55.7,Baseline,0,55.8
R173,Control,55.7,Post,1,68.4
R173,Control,55.7,Follow-up,2,53.3
R174,Intervention,71.6,Baseline,0,65.5
R174,Intervention,71.6,Post,1,61.0
R174,Intervention,71.6,Follow-up,2,80.4
R175,Control,72.0,Baseline,0,61.8
R175,Control,72.0,Post,1,68.4
R175,Control,72.0,Follow-up,2,72.9
R176,Intervention,61.8,Baseline,0,70.1
R176,Intervention,61.8,Post,1,75.2
R176,Intervention,61.8,Follow-up,2,82.0
R177,Intervention,63.1,Baseline,0,66.9
R177,Intervention,63.1,Post,1,80.5
R177,Intervention,63.1,Follow-up,2,78.5
R178,Intervention,54.8,Baseline,0,68.6
R178,Intervention,54.8,Post,1,79.9
R178,Intervention,54.8,Follow-up,2,
R179,Intervention,60.8,Baseline,0,69.4
R179,Intervention,60.8,Post,1,70.5
R179,Intervention,60.8,Follow-up,2,62.3
R180,Control,65.9,Baseline,0,72.3
R180,Control,65.9,Post,1,72.9
R180,Control,65.9,Follow-up,2,64.2
