participant_id,prior_score,study_hours,workload,study_hours_c,workload_c,final_score
MO066,79.2,2.13,44.16,-4.9221,-5.4907,66.1
MO067,79.7,10.22,46.24,3.1621,-3.4107,89.6
MO068,77.0,12.09,59.98,5.0335,10.3353,73.1
MO069,78.8,11.6,49.48,4.5518,-0.1668,82.6
MO070,55.9,7.3,38.94,0.2517,-10.7114,66.2
MO071,76.5,4.73,61.13,-2.3185,11.4787,55.9
MO072,76.0,2.35,60.63,-4.7074,10.9861,59.0
MO073,72.0,9.32,65.22,2.271,15.5715,73.3
MO074,56.3,7.09,47.18,0.04,-2.4635,57.2
MO075,79.0,7.0,54.53,-0.0559,4.8879,73.9
MO076,82.6,5.41,56.97,-1.6398,7.3221,90.7
MO077,57.4,6.86,67.48,-0.1897,17.8287,66.6
MO078,65.3,11.98,64.05,4.9304,14.3994,55.9
MO079,80.7,7.15,54.76,0.0989,5.1145,67.4
MO080,54.6,3.19,62.01,-3.8662,12.3603,63.4
MO081,62.8,2.81,22.79,-4.2446,-26.8565,25.7
MO082,69.1,5.42,63.95,-1.6306,14.2996,65.5
MO083,56.0,9.03,43.1,1.9739,-6.5425,84.9
MO084,55.3,9.43,52.32,2.3769,2.6774,68.8
MO085,42.9,9.72,43.19,2.6628,-6.4571,61.1
MO086,73.9,8.3,52.68,1.2507,3.029,75.8
MO087,51.6,5.09,32.81,-1.9599,-16.8414,58.7
MO088,42.9,9.69,52.68,2.6342,3.0295,66.6
MO089,59.5,3.95,48.44,-3.1001,-1.2051,54.0
MO090,92.0,1.0,53.76,-6.053,4.1161,57.3
MO091,89.7,7.49,48.41,0.4364,-1.2415,78.0
MO092,76.5,8.03,56.69,0.9736,7.0452,77.4
MO093,66.2,1.0,47.76,-6.053,-1.8873,58.4
MO094,58.2,8.34,52.29,1.2871,2.6401,77.6
MO095,61.8,3.77,63.58,-3.2838,13.9369,71.8
MO096,43.6,13.67,47.55,6.6172,-2.0982,73.1
MO097,70.0,4.23,63.37,-2.8223,13.7245,69.9
MO098,78.5,7.85,49.99,0.7929,0.3399,73.6
MO099,60.3,3.08,44.42,-3.9682,-5.2314,51.5
MO100,68.8,6.01,45.81,-1.0412,-3.8333,67.2
MO101,53.7,8.84,65.51,1.7918,15.866,73.7
MO102,69.9,9.43,49.99,2.3756,0.3474,77.0
MO103,49.8,4.89,63.77,-2.163,14.1259,55.4
MO104,79.0,10.2,53.36,3.1514,3.7151,69.2
MO105,51.4,5.11,51.37,-1.9465,1.7184,54.6
MO106,70.5,9.75,51.95,2.7005,2.3022,66.1
MO107,52.7,11.92,40.37,4.8706,-9.2724,70.1
MO108,67.6,11.69,60.39,4.6418,10.7395,65.2
MO109,77.8,6.87,38.29,-0.1786,-11.3596,72.6
MO110,72.2,6.35,68.19,-0.7041,18.5383,54.8
MO111,79.0,5.45,57.77,-1.6054,8.1208,70.7
MO112,77.4,6.35,50.26,-0.7016,0.6156,57.6
MO113,60.8,10.83,51.22,3.7749,1.5695,76.2
MO114,76.3,9.39,59.53,2.3325,9.8839,85.7
MO115,73.4,7.78,43.7,0.7222,-5.951,63.0
MO116,53.3,3.29,54.51,-3.7662,4.8665,56.4
MO117,77.6,5.55,39.11,-1.5066,-10.5401,56.5
MO118,70.8,10.61,51.28,3.5583,1.6336,70.1
MO119,73.8,7.85,49.54,0.7953,-0.104,76.3
MO120,75.2,1.0,56.86,-6.053,7.2174,68.5
MO121,65.3,12.69,40.85,5.6338,-8.7968,69.1
MO122,70.2,9.6,39.84,2.5498,-9.8081,81.0
MO123,66.5,8.16,51.2,1.1093,1.5574,62.4
MO124,68.1,5.75,35.26,-1.3029,-14.3892,66.9
MO125,60.2,10.33,48.43,3.2756,-1.2213,61.9
MO126,72.0,3.08,43.21,-3.9708,-6.4357,67.6
MO127,57.8,7.78,50.88,0.7315,1.2349,63.6
MO128,71.7,3.82,54.89,-3.2365,5.2471,64.6
MO129,65.6,8.57,70.03,1.5156,20.3844,63.8
MO130,77.6,6.58,44.54,-0.4695,-5.1099,72.5
MO131,70.1,6.17,54.46,-0.8864,4.8092,74.3
MO132,37.7,6.08,51.7,-0.9777,2.0577,58.7
MO133,73.4,12.71,57.71,5.659,8.0583,70.2
MO134,72.3,6.95,55.05,-0.1011,5.4063,67.4
MO135,58.9,2.84,71.5,-4.2134,21.8562,66.8
MO136,85.4,3.27,41.45,-3.7813,-8.1953,58.3
MO137,74.4,11.01,60.87,3.96,11.2246,74.7
MO138,75.1,6.03,31.72,-1.0238,-17.9258,77.5
MO139,62.0,9.51,58.27,2.4611,8.6224,77.7
MO140,72.7,3.75,57.3,-3.3034,7.6509,62.0
MO141,69.0,5.19,43.14,-1.866,-6.5071,73.0
MO142,67.0,8.18,37.97,1.1279,-11.6721,74.4
MO143,62.4,11.0,37.7,3.9464,-11.9458,78.4
MO144,71.8,7.24,44.66,0.1831,-4.9903,69.4
MO145,51.4,3.63,42.59,-3.4244,-7.0576,50.0
MO146,70.1,4.04,50.06,-3.0164,0.4129,70.7
MO147,78.7,3.88,36.66,-3.1709,-12.9911,64.5
MO148,71.0,9.63,63.79,2.5798,14.1394,58.3
MO149,67.1,7.47,48.66,0.4144,-0.9917,55.6
MO150,51.0,9.01,44.04,1.9552,-5.611,76.6
MO151,55.0,8.71,60.36,1.6554,10.7127,60.8
MO152,82.3,5.24,33.31,-1.8164,-16.3336,73.6
MO153,67.8,6.82,60.01,-0.2323,10.36,66.7
MO154,87.7,5.88,42.29,-1.1777,-7.3536,69.9
MO155,84.8,11.88,47.34,4.8298,-2.3061,88.8
MO156,61.5,7.64,39.57,0.5892,-10.0808,68.4
MO157,64.7,11.6,48.04,4.5435,-1.6113,64.5
MO158,71.8,10.54,35.95,3.4849,-13.6999,73.0
MO159,86.4,2.12,53.23,-4.9344,3.5806,73.1
MO160,79.4,5.94,66.48,-1.1083,16.8324,78.0
MO161,74.5,2.98,57.19,-4.0718,7.546,64.1
MO162,68.3,9.85,59.19,2.7959,9.5433,67.4
MO163,50.7,10.39,38.97,3.3331,-10.6729,64.3
MO164,58.7,11.84,32.62,4.7826,-17.0239,87.1
MO165,56.9,5.68,41.94,-1.3722,-7.7072,54.9
MO166,68.6,7.31,43.24,0.2601,-6.4079,72.9
MO167,84.4,1.68,47.33,-5.3736,-2.3214,80.6
MO168,66.7,7.49,37.74,0.439,-11.9093,75.9
MO169,70.6,8.84,49.11,1.7846,-0.5324,63.0
MO170,67.5,6.95,38.11,-0.1055,-11.5359,61.4
MO171,64.3,11.24,46.23,4.19,-3.4201,73.0
MO172,62.1,8.23,49.88,1.1775,0.2354,67.0
MO173,73.3,6.87,52.09,-0.1796,2.4421,77.3
MO174,71.5,3.76,43.18,-3.2947,-6.4693,54.8
MO175,56.8,7.97,79.21,0.9132,29.5607,56.2
MO176,56.1,4.72,53.43,-2.3365,3.7825,48.6
MO177,80.9,4.25,24.17,-2.7987,-25.4784,66.7
MO178,57.5,6.28,63.28,-0.7747,13.6311,62.3
MO179,64.4,10.38,39.86,3.3261,-9.785,90.2
MO180,75.8,6.67,60.28,-0.3796,10.6329,82.3
MO181,70.6,2.68,69.67,-4.3698,20.0187,65.9
MO182,68.9,3.84,50.83,-3.2122,1.1814,54.1
MO183,79.7,7.94,66.36,0.8835,16.7154,67.5
MO184,65.4,7.22,45.37,0.1673,-4.2744,75.6
MO185,76.7,5.68,52.89,-1.3771,3.2407,72.4
MO186,76.2,7.71,51.87,0.6567,2.227,66.2
MO187,71.4,9.96,49.6,2.9101,-0.0457,78.2
MO188,58.5,8.69,28.37,1.6388,-21.2776,76.5
MO189,72.1,10.26,46.08,3.2095,-3.5673,74.1
MO190,75.9,2.81,49.83,-4.2417,0.1867,69.6
MO191,62.7,3.68,64.56,-3.3699,14.9082,65.5
MO192,76.3,7.81,49.97,0.7589,0.3208,73.8
MO193,59.1,3.95,40.75,-3.0982,-8.8967,59.2
MO194,53.7,3.95,46.24,-3.1007,-3.4054,53.1
MO195,67.7,1.0,43.74,-6.053,-5.905,72.7
MO196,60.7,6.25,46.99,-0.8016,-2.6562,61.5
MO197,50.2,5.08,34.48,-1.9759,-15.1708,65.7
MO198,41.8,7.67,44.0,0.6155,-5.6512,66.9
MO199,64.6,6.3,56.94,-0.7507,7.2898,68.6
MO200,64.8,10.69,64.59,3.6364,14.9387,58.4
MO201,61.6,3.92,21.74,-3.1309,-27.9044,61.5
MO202,70.0,5.08,58.83,-1.9716,9.1786,63.6
MO203,64.9,2.25,51.49,-4.8025,1.8427,61.2
MO204,61.8,1.0,42.51,-6.053,-7.1414,43.5
MO205,86.0,6.12,58.45,-0.9282,8.8041,79.8
MO206,65.5,3.52,37.24,-3.5311,-12.4103,47.4
MO207,67.5,1.69,55.88,-5.3663,6.2301,61.4
MO208,77.0,10.93,58.4,3.8791,8.7491,73.4
MO209,64.8,5.9,70.61,-1.1483,20.9655,59.9
MO210,63.6,12.61,40.91,5.5554,-8.7344,77.2
MO211,67.9,10.63,62.0,3.5745,12.3481,66.8
MO212,59.9,4.49,53.05,-2.5635,3.3998,61.3
MO213,67.1,5.96,38.75,-1.0967,-10.8997,67.1
MO214,79.3,9.91,52.93,2.8596,3.288,64.6
MO215,70.0,5.73,52.28,-1.3224,2.6366,70.8
MO216,68.7,7.52,50.78,0.4714,1.1293,84.2
MO217,57.6,12.91,53.95,5.8599,4.3033,60.1
MO218,55.7,10.15,59.32,3.095,9.6737,68.6
MO219,67.7,4.07,39.26,-2.986,-10.3835,64.6
MO220,64.3,7.14,31.8,0.0896,-17.8488,73.8
MO221,67.8,4.14,40.86,-2.9157,-8.7849,74.3
MO222,63.6,9.02,43.79,1.9669,-5.8527,54.0
MO223,79.1,8.81,42.83,1.7618,-6.8197,64.5
MO224,66.4,10.12,36.32,3.0625,-13.328,84.9
MO225,74.0,4.86,45.2,-2.1923,-4.4515,54.4
MO226,41.1,7.5,48.09,0.4483,-1.5609,64.7
MO227,64.1,3.31,49.7,-3.7462,0.0561,60.0
MO228,74.7,2.09,52.49,-4.9605,2.8383,61.9
MO229,77.5,6.7,45.42,-0.3489,-4.2305,49.9
MO230,75.4,5.5,52.57,-1.5531,2.9261,62.6
MO231,90.5,3.3,51.28,-3.7502,1.6298,76.5
MO232,60.8,4.84,32.11,-2.2111,-17.5321,49.9
MO233,64.7,5.79,51.07,-1.2638,1.4253,56.4
MO234,72.3,9.71,48.42,2.6557,-1.2296,81.8
MO235,71.7,12.95,55.77,5.8958,6.1255,69.2
MO236,64.4,10.71,31.35,3.6603,-18.3007,86.3
MO237,81.4,4.71,61.85,-2.3461,12.2047,69.5
MO238,76.4,1.0,40.16,-6.053,-9.4912,71.4
MO239,81.8,9.25,31.23,2.1987,-18.4192,80.8
MO240,47.8,6.22,49.58,-0.8336,-0.0674,57.0
MO241,64.7,9.01,54.75,1.9571,5.1049,76.6
MO242,73.3,5.68,34.29,-1.3726,-15.3603,56.8
MO243,60.3,5.01,51.33,-2.045,1.6832,63.5
MO244,78.5,9.93,39.67,2.8773,-9.9749,78.4
MO245,69.5,6.81,57.37,-0.245,7.7272,69.0
MO246,59.9,7.89,57.78,0.84,8.1315,71.3
MO247,69.8,5.73,46.43,-1.3192,-3.2144,63.9
MO248,69.7,7.85,47.87,0.8005,-1.7746,54.5
MO249,88.2,12.66,38.66,5.6068,-10.9827,94.6
MO250,61.4,13.21,45.34,6.1523,-4.3084,85.1
MO251,64.6,3.79,50.95,-3.2678,1.3055,63.1
MO252,76.7,6.28,53.03,-0.7766,3.3784,64.0
MO253,79.5,8.05,48.16,0.9985,-1.4901,75.2
MO254,44.2,5.86,53.64,-1.1883,3.9951,59.6
MO255,67.9,4.94,57.97,-2.1152,8.3226,63.5
MO256,67.3,10.54,54.03,3.4847,4.3788,65.7
MO257,49.9,3.55,68.75,-3.4992,19.1037,62.8
MO258,67.9,6.5,27.55,-0.5561,-22.0934,56.2
MO259,66.3,12.55,64.63,5.4998,14.9823,63.1
MO260,63.2,3.21,55.92,-3.8422,6.2753,50.0
MO261,59.4,7.75,42.58,0.6946,-7.0663,64.2
MO262,80.3,5.52,42.71,-1.5316,-6.9395,71.4
MO263,69.3,10.75,67.73,3.6965,18.0797,70.1
MO264,65.2,11.13,52.76,4.078,3.1142,62.2
MO265,67.4,7.33,52.31,0.2815,2.6611,62.6
MO266,62.8,8.45,57.73,1.4006,8.0862,66.4
MO267,65.9,3.25,42.42,-3.8047,-7.23,70.4
MO268,53.9,2.84,59.57,-4.2091,9.9262,58.1
MO269,70.3,10.89,42.73,3.8338,-6.9206,61.3
MO270,62.8,3.89,64.23,-3.1639,14.5828,66.3
MO271,65.2,5.26,50.61,-1.7975,0.9663,48.1
MO272,70.9,5.55,50.31,-1.5025,0.668,61.5
MO273,68.5,4.68,61.29,-2.3729,11.6445,56.8
MO274,92.0,7.77,35.38,0.7145,-14.2623,74.1
MO275,56.2,8.64,50.25,1.5843,0.5983,59.0
MO276,86.3,5.57,54.92,-1.4834,5.2696,83.8
MO277,72.9,11.34,65.55,4.2917,15.908,59.2
MO278,59.8,8.24,41.49,1.1838,-8.1522,77.1
MO279,75.6,7.74,44.52,0.6828,-5.127,81.2
MO280,71.0,3.12,46.56,-3.9288,-3.084,66.8
MO281,68.3,3.99,50.15,-3.0673,0.5029,55.5
MO282,74.1,3.3,43.14,-3.7546,-6.5027,66.4
MO283,65.3,7.43,37.1,0.3777,-12.5487,75.8
MO284,67.5,4.88,80.0,-2.1744,30.3531,58.2
MO285,76.2,6.5,61.98,-0.5549,12.3339,74.0
MO286,77.9,8.08,53.02,1.0307,3.3714,71.3
MO287,68.3,9.91,45.68,2.8572,-3.9652,67.3
MO288,72.3,6.69,32.36,-0.3592,-17.2865,83.9
MO289,68.5,7.55,60.28,0.4929,10.6312,60.8
MO290,71.9,11.74,61.48,4.6874,11.8322,73.7
MO291,72.1,8.29,43.28,1.2397,-6.3701,61.8
MO292,77.5,5.13,46.4,-1.9248,-3.2514,66.6
MO293,67.1,6.93,39.4,-0.1278,-10.2477,61.7
MO294,59.5,6.86,34.68,-0.1953,-14.9708,58.0
MO295,63.0,4.74,54.71,-2.3132,5.0597,64.1
MO296,70.3,6.12,51.34,-0.9283,1.698,62.0
MO297,75.6,9.67,55.28,2.6169,5.6316,80.0
MO298,66.0,8.45,48.39,1.3944,-1.2613,62.5
MO299,50.8,7.45,71.73,0.3958,22.0864,66.6
MO300,91.5,8.24,53.24,1.1864,3.5905,69.0
MO301,66.3,7.51,42.5,0.4615,-7.1462,65.6
MO302,74.9,7.0,65.03,-0.0545,15.3842,66.4
MO303,67.3,8.05,43.58,0.9986,-6.0674,71.8
MO304,82.4,8.46,58.13,1.4093,8.484,75.8
MO305,74.7,2.29,59.1,-4.7619,9.4574,71.8
MO306,61.4,4.74,32.15,-2.3107,-17.4981,50.8
MO307,60.7,7.58,54.36,0.5275,4.7147,68.9
MO308,67.2,9.88,58.53,2.8243,8.8835,78.0
MO309,81.2,8.22,45.91,1.1715,-3.7365,84.7
MO310,73.2,9.92,49.82,2.8636,0.1748,62.5
MO311,83.0,13.52,61.91,6.4674,12.2599,57.4
MO312,68.6,5.75,56.0,-1.305,6.3543,52.8
MO313,73.1,3.89,37.7,-3.1605,-11.9488,61.3
MO314,79.4,6.9,54.53,-0.1573,4.8809,61.3
MO315,71.6,2.7,36.36,-4.3511,-13.2832,56.5
MO316,36.8,8.78,40.82,1.7252,-8.8304,55.7
MO317,72.6,4.52,44.69,-2.5281,-4.9525,79.0
MO318,63.2,4.45,66.34,-2.603,16.6944,55.3
MO319,68.5,4.59,30.65,-2.4617,-18.9988,76.2
MO320,77.4,11.64,66.49,4.5894,16.8385,64.1
