student_id,age,prior_gpa,study_hours,self_efficacy,instructional_format,employment_status,exam_score,completion_status,r_prior_gpa,r_study_hours,r_self_efficacy,r_exam_score
S141,32,3.14,9.1,23.3,Hybrid,Not employed,95.9,Did not complete,1,1,1,1
S142,30,2.49,8.5,24.0,Face-to-face,Part-time,83.4,Completed,1,1,1,1
S143,27,2.44,9.7,23.5,Face-to-face,Not employed,79.2,Did not complete,1,1,1,1
S144,34,3.66,10.2,21.7,Hybrid,Part-time,97.7,Completed,1,1,1,1
S145,20,2.41,3.1,24.6,Online,Full-time,,Did not complete,1,1,1,0
S146,33,2.02,5.9,25.6,Hybrid,Not employed,75.6,Did not complete,1,1,1,1
S147,40,3.4,9.2,28.1,Hybrid,Part-time,100.0,Completed,1,1,1,1
S148,33,3.72,11.8,,Online,Not employed,100.0,Did not complete,1,1,0,1
S149,30,3.64,9.9,26.2,Face-to-face,Part-time,100.0,Did not complete,1,1,1,1
S150,20,2.9,11.8,,Online,Part-time,90.3,Completed,1,1,0,1
S151,21,2.46,16.0,27.7,Online,Part-time,88.0,Completed,1,1,1,1
S152,42,2.05,7.1,17.7,Online,Part-time,71.0,Did not complete,1,1,1,1
S153,31,3.25,4.9,,Face-to-face,Full-time,,Did not complete,1,1,0,0
S154,47,2.87,8.4,26.8,Hybrid,Not employed,93.4,Did not complete,1,1,1,1
S155,44,2.85,3.6,30.4,Online,Full-time,,Did not complete,1,1,1,0
S156,26,2.58,10.5,17.9,Face-to-face,Full-time,84.8,Did not complete,1,1,1,1
S157,28,2.83,5.7,33.5,Hybrid,Not employed,90.9,Completed,1,1,1,1
S158,34,3.7,5.6,23.7,Online,Not employed,93.5,Completed,1,1,1,1
S159,46,2.88,,18.2,Face-to-face,Full-time,68.6,Did not complete,1,0,1,1
S160,40,2.2,13.8,26.6,Hybrid,Not employed,89.2,Did not complete,1,1,1,1
S161,36,2.13,7.1,29.1,Online,Not employed,66.4,Did not complete,1,1,1,1
S162,31,,13.7,19.4,Online,Not employed,97.3,Completed,0,1,1,1
S163,20,3.2,2.3,28.6,Face-to-face,Not employed,77.7,Did not complete,1,1,1,1
S164,24,3.27,9.8,22.9,Face-to-face,Part-time,88.7,Did not complete,1,1,1,1
S165,22,3.32,,31.8,Online,Not employed,84.8,Did not complete,1,0,1,1
S166,32,3.07,7.8,31.7,Online,Part-time,85.7,Did not complete,1,1,1,1
S167,44,2.52,10.7,25.4,Online,Not employed,88.1,Did not complete,1,1,1,1
S168,30,3.31,15.0,27.0,Hybrid,Not employed,100.0,Completed,1,1,1,1
S169,33,2.33,7.2,21.3,Online,Not employed,81.7,Did not complete,1,1,1,1
S170,31,1.52,0.5,23.6,Hybrid,Part-time,53.5,Did not complete,1,1,1,1
S171,28,2.93,8.8,28.1,Face-to-face,Part-time,78.1,Did not complete,1,1,1,1
S172,26,3.03,5.8,29.3,Face-to-face,Not employed,76.9,Completed,1,1,1,1
S173,35,1.4,11.5,24.9,Online,Not employed,80.1,Did not complete,1,1,1,1
S174,34,3.08,6.1,29.7,Online,Not employed,75.2,Did not complete,1,1,1,1
S175,22,2.3,11.9,30.9,Hybrid,Part-time,87.1,Completed,1,1,1,1
S176,21,3.99,,30.9,Face-to-face,Full-time,100.0,Did not complete,1,0,1,1
S177,41,,8.1,36.4,Hybrid,Part-time,85.9,Completed,0,1,1,1
S178,23,1.6,,16.0,Face-to-face,Not employed,94.0,Completed,1,0,1,1
S179,28,2.18,10.1,34.1,Online,Not employed,91.4,Did not complete,1,1,1,1
S180,37,2.68,7.7,30.3,Face-to-face,Not employed,79.6,Completed,1,1,1,1
S181,33,3.17,2.9,24.2,Face-to-face,Part-time,62.0,Did not complete,1,1,1,1
S182,32,3.27,8.3,24.4,Online,Part-time,69.1,Did not complete,1,1,1,1
S183,40,2.49,,36.0,Hybrid,Part-time,79.1,Completed,1,0,1,1
S184,29,3.4,2.1,29.6,Online,Not employed,75.5,Did not complete,1,1,1,1
S185,38,2.53,15.9,28.3,Face-to-face,Part-time,96.8,Completed,1,1,1,1
S186,38,3.32,6.0,32.0,Face-to-face,Part-time,83.5,Completed,1,1,1,1
S187,34,3.69,2.6,24.8,Hybrid,Not employed,79.3,Did not complete,1,1,1,1
S188,23,3.65,5.2,33.3,Hybrid,Part-time,94.5,Did not complete,1,1,1,1
S189,34,2.83,8.8,23.9,Online,Not employed,91.7,Completed,1,1,1,1
S190,37,2.74,6.9,34.5,Online,Not employed,81.2,Completed,1,1,1,1
S191,27,2.58,6.9,27.5,Face-to-face,Not employed,90.4,Completed,1,1,1,1
S192,38,2.74,7.6,27.6,Online,Not employed,86.3,Completed,1,1,1,1
S193,24,3.51,,,Online,Full-time,78.7,Did not complete,1,0,0,1
S194,20,3.26,,20.7,Face-to-face,Part-time,83.1,Did not complete,1,0,1,1
S195,31,2.98,7.8,27.8,Hybrid,Full-time,85.7,Completed,1,1,1,1
S196,25,2.21,3.2,29.3,Face-to-face,Part-time,75.4,Did not complete,1,1,1,1
S197,20,2.6,6.8,35.0,Hybrid,Part-time,87.6,Completed,1,1,1,1
S198,20,3.47,8.9,24.1,Face-to-face,Full-time,84.8,Did not complete,1,1,1,1
S199,28,3.0,7.3,25.0,Face-to-face,Part-time,81.6,Did not complete,1,1,1,1
S200,28,1.69,8.8,24.4,Face-to-face,Part-time,79.5,Did not complete,1,1,1,1
S201,26,3.82,1.7,28.8,Face-to-face,Part-time,77.8,Completed,1,1,1,1
S202,33,3.3,10.0,24.7,Face-to-face,Not employed,86.3,Completed,1,1,1,1
S203,29,3.05,12.7,21.3,Face-to-face,Full-time,91.5,Completed,1,1,1,1
S204,26,2.64,6.8,40.0,Face-to-face,Part-time,85.9,Did not complete,1,1,1,1
S205,45,3.42,6.1,34.2,Face-to-face,Not employed,87.1,Completed,1,1,1,1
S206,29,2.18,6.4,28.3,Hybrid,Not employed,81.1,Did not complete,1,1,1,1
S207,31,2.98,4.9,25.6,Hybrid,Not employed,75.8,Did not complete,1,1,1,1
S208,38,2.3,5.8,18.1,Face-to-face,Not employed,77.8,Completed,1,1,1,1
S209,28,3.12,10.2,,Face-to-face,Not employed,96.5,Did not complete,1,1,0,1
S210,27,,6.5,33.2,Face-to-face,Not employed,78.2,Did not complete,0,1,1,1
S211,31,2.71,5.7,24.0,Hybrid,Part-time,94.2,Did not complete,1,1,1,1
S212,25,2.69,8.7,25.6,Online,Full-time,,Did not complete,1,1,1,0
S213,30,3.83,9.9,23.4,Online,Not employed,97.0,Completed,1,1,1,1
S214,40,2.84,,19.9,Face-to-face,Not employed,73.3,Did not complete,1,0,1,1
S215,33,,9.4,29.1,Hybrid,Part-time,87.0,Did not complete,0,1,1,1
S216,32,2.21,12.6,27.5,Face-to-face,Part-time,85.8,Completed,1,1,1,1
S217,23,3.54,12.7,,Face-to-face,Part-time,100.0,Completed,1,1,0,1
S218,21,2.68,8.7,26.6,Face-to-face,Part-time,92.0,Completed,1,1,1,1
S219,31,3.28,8.0,38.9,Online,Full-time,90.6,Completed,1,1,1,1
S220,28,2.29,11.5,28.5,Hybrid,Not employed,88.0,Did not complete,1,1,1,1
S221,31,2.54,7.8,23.4,Online,Part-time,71.6,Did not complete,1,1,1,1
S222,27,3.05,8.6,35.3,Online,Full-time,92.4,Did not complete,1,1,1,1
S223,40,3.54,11.1,25.2,Online,Not employed,95.7,Completed,1,1,1,1
S224,30,2.89,8.6,31.7,Hybrid,Not employed,79.2,Completed,1,1,1,1
S225,36,2.27,8.1,31.4,Face-to-face,Part-time,87.1,Did not complete,1,1,1,1
S226,20,2.34,6.6,18.0,Online,Not employed,67.2,Did not complete,1,1,1,1
S227,28,2.32,7.3,29.1,Online,Not employed,97.3,Completed,1,1,1,1
S228,36,3.3,11.7,,Online,Not employed,,Did not complete,1,1,0,0
S229,39,2.93,8.3,25.6,Online,Part-time,81.9,Completed,1,1,1,1
S230,37,3.19,5.0,27.9,Hybrid,Full-time,70.2,Did not complete,1,1,1,1
S231,49,3.14,,33.9,Face-to-face,Not employed,100.0,Completed,1,0,1,1
S232,25,2.55,11.9,30.2,Face-to-face,Not employed,97.4,Completed,1,1,1,1
S233,28,2.82,13.4,21.4,Online,Full-time,81.8,Did not complete,1,1,1,1
S234,34,2.66,7.6,29.6,Hybrid,Not employed,89.4,Completed,1,1,1,1
S235,34,3.69,10.0,21.7,Hybrid,Not employed,94.5,Did not complete,1,1,1,1
S236,28,2.96,10.7,23.1,Online,Not employed,91.8,Completed,1,1,1,1
S237,42,3.64,14.1,25.9,Online,Not employed,95.6,Completed,1,1,1,1
S238,38,3.46,13.0,36.5,Face-to-face,Not employed,100.0,Completed,1,1,1,1
S239,42,2.01,10.0,16.9,Hybrid,Part-time,78.3,Did not complete,1,1,1,1
S240,20,3.8,26.0,,Face-to-face,Not employed,64.0,Completed,1,1,0,1
